년도,월,나이,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2021,10,70,"8,880","1,701",351,328,339,307,275,276,840,637,507,341,340,348,731,780,186,423,170
2021,10,80,"6,284",935,293,258,213,245,183,211,557,426,377,276,286,291,489,580,155,355,154
2021,10,90,838,119,30,39,25,46,29,27,89,72,48,34,26,29,71,70,21,44,19
2021,10,100,26,1,1,0,1,0,1,2,5,3,2,0,1,1,3,3,0,1,1
2021,11,총,"50,665","12,984","1,925","1,614","1,744","1,551","1,452","1,448","4,193","3,858","2,557","1,752","1,712","1,788","4,556","3,757",826,"2,135",813
2021,11,0,"1,805",746,28,39,27,20,41,35,121,150,88,43,33,41,229,85,19,47,13
2021,11,10,"2,174",997,56,32,52,36,48,37,136,117,44,43,56,47,248,119,13,75,18
2021,11,20,"2,858","1,050",79,67,77,55,47,49,204,243,108,68,85,98,359,161,20,63,25
2021,11,30,"2,966","1,073",79,71,60,41,69,71,216,251,127,93,89,81,329,172,26,82,36
2021,11,40,"4,456","1,709",143,94,116,103,67,84,340,332,179,105,118,115,483,250,43,126,49
2021,11,50,"8,227","2,099",301,246,331,269,239,235,619,662,404,286,282,303,750,609,151,321,120
2021,11,60,"12,160","2,551",563,441,503,428,453,422,"1,068",958,679,465,399,429,870,926,192,600,213
2021,11,70,"8,845","1,700",348,327,338,306,272,278,840,642,505,337,335,349,727,773,183,420,165
2021,11,80,"6,300",934,295,257,213,248,187,211,553,426,374,279,287,293,491,588,157,353,154
2021,11,90,853,124,32,40,26,45,28,26,91,74,48,33,27,31,70,71,22,47,18
2021,11,100,21,1,1,0,1,0,1,0,5,3,1,0,1,1,0,3,0,1,2
2021,12,총,"50,632","12,971","1,924","1,614","1,745","1,551","1,450","1,456","4,201","3,842","2,573","1,756","1,698","1,783","4,543","3,765",822,"2,126",812
2021,12,0,"1,801",742,28,41,29,20,41,35,122,147,87,44,31,41,230,86,18,45,14
2021,12,10,"2,186","1,009",57,30,54,38,48,40,136,112,43,43,56,48,246,120,14,74,18
2021,12,20,"2,833","1,046",76,69,74,52,45,49,202,240,111,68,84,100,351,159,21,61,25
2021,12,30,"2,951","1,066",78,71,61,41,67,68,219,248,126,93,84,84,327,179,25,79,35
2021,12,40,"4,458","1,712",141,98,116,103,68,86,340,327,182,107,117,113,477,253,43,129,46
2021,12,50,"8,174","2,083",296,240,329,269,237,230,619,666,410,283,277,298,749,605,149,315,119
2021,12,60,"12,182","2,553",570,440,503,426,460,429,"1,069",948,675,470,400,428,875,925,193,606,212
2021,12,70,"8,851","1,697",346,327,339,308,269,279,839,652,515,334,333,348,724,774,181,419,167
2021,12,80,"6,304",935,297,257,213,247,187,214,559,424,374,280,286,288,493,592,157,347,154
2021,12,90,876,127,34,41,26,47,28,26,93,76,49,34,29,35,71,69,21,50,20
2021,12,100,16,1,1,0,1,0,0,0,3,2,1,0,1,0,0,3,0,1,2
