년도,월,나이,김제시,만경읍,죽산면,백산면,용지면,백구면,부량면,공덕면,청하면,성덕면,진봉면,금구면,봉남면,황산면,금산면,광활면,요촌동,신풍동,검산동,교월동
2021,10,90,963,46,48,34,68,56,21,37,36,40,53,50,37,27,65,19,88,71,90,77
2021,10,100,36,1,0,5,1,0,0,4,0,2,0,1,4,1,7,0,2,0,1,7
2021,11,총,"40,790","1,296","1,215","1,144","1,698","1,901",675,"1,199",863,862,"1,322","2,422","1,113",924,"2,239",643,"5,556","6,573","5,938","3,207"
2021,11,0,"1,881",27,25,32,36,57,20,33,19,24,17,89,27,23,63,20,325,407,453,184
2021,11,10,"2,963",50,36,48,75,100,24,56,32,25,43,146,40,35,85,28,527,682,680,251
2021,11,20,"3,074",68,37,53,112,120,31,71,25,40,50,175,43,56,119,30,565,622,626,231
2021,11,30,"2,889",56,51,55,80,105,31,59,41,37,50,128,41,30,105,31,519,589,588,293
2021,11,40,"4,233",91,69,70,96,153,35,75,59,60,75,210,58,58,153,32,755,914,940,330
2021,11,50,"5,959",184,141,149,231,284,86,164,115,102,151,413,129,130,364,83,845,"1,047",889,452
2021,11,60,"7,423",319,291,258,357,376,148,271,193,177,289,489,242,182,490,138,907,961,783,552
2021,11,70,"6,332",221,265,253,345,364,140,211,182,199,330,428,252,193,425,155,622,737,544,466
2021,11,80,"5,043",233,251,191,299,284,140,218,162,159,265,291,238,186,361,108,399,546,345,367
2021,11,90,960,46,49,32,66,58,20,37,35,39,52,52,39,30,66,18,90,68,89,74
2021,11,100,33,1,0,3,1,0,0,4,0,0,0,1,4,1,8,0,2,0,1,7
2021,12,총,"40,720","1,298","1,204","1,138","1,693","1,894",675,"1,202",859,859,"1,312","2,416","1,113",921,"2,240",636,"5,530","6,589","5,969","3,172"
2021,12,0,"1,860",27,25,30,35,51,20,32,20,24,17,85,28,22,65,20,321,410,445,183
2021,12,10,"2,971",49,36,48,72,102,26,57,31,24,42,147,42,36,83,29,533,682,683,249
2021,12,20,"3,067",69,37,56,112,120,33,71,25,41,49,177,42,58,118,29,543,618,645,224
2021,12,30,"2,892",58,50,54,84,107,31,61,41,38,49,128,41,31,105,31,509,595,589,290
2021,12,40,"4,217",90,69,71,97,150,35,75,58,60,74,206,58,55,150,33,752,921,943,320
2021,12,50,"5,926",184,139,146,231,282,82,165,113,101,146,409,130,132,363,82,839,"1,046",886,450
2021,12,60,"7,432",321,287,257,354,375,150,270,195,177,286,490,241,180,493,134,918,960,791,553
2021,12,70,"6,241",217,259,249,339,362,134,210,174,194,327,422,250,188,421,150,616,730,541,458
2021,12,80,"5,119",236,252,192,301,288,143,220,166,160,269,298,238,187,367,110,409,557,355,371
2021,12,90,963,46,50,32,67,57,21,37,36,40,53,52,39,31,65,18,89,70,90,70
2021,12,100,32,1,0,3,1,0,0,4,0,0,0,2,4,1,10,0,1,0,1,4
