년도,월,나이,양산시,물금읍,동면,원동면,상북면,하북면,중앙동,양주동,삼성동,강서동,서창동,소주동,평산동,덕계동
2021,11,60,"23,628","6,047","2,322",472,"1,348",901,"1,203","1,967","1,532",612,"1,893","1,618","2,400","1,313"
2021,11,70,"11,993","2,489",985,312,787,487,561,"1,215",651,288,948,914,"1,649",707
2021,11,80,"6,156","1,242",440,214,427,323,280,547,381,166,436,529,807,364
2021,11,90,932,202,79,34,76,68,37,72,62,32,66,55,95,54
2021,11,100,24,4,1,1,3,3,0,0,2,0,4,2,2,2
2021,12,총,"176,967","60,999","18,454","1,634","6,187","3,840","5,365","16,989","10,371","4,446","13,572","10,185","15,721","9,204"
2021,12,0,"16,022","7,480","2,326",36,225,72,210,"1,139",624,344,"1,041",629,"1,087",809
2021,12,10,"16,964","6,448","1,532",55,395,211,260,"1,922",829,538,"1,589",880,"1,555",750
2021,12,20,"18,180","6,809","1,599",57,492,285,550,"2,078","1,202",468,"1,344",965,"1,435",896
2021,12,30,"23,024","10,226","3,197",69,434,233,518,"1,602","1,231",458,"1,423","1,022","1,454","1,157"
2021,12,40,"30,166","11,285","3,245",110,719,403,627,"3,184","1,552",788,"2,507","1,658","2,617","1,471"
2021,12,50,"29,632","8,762","2,606",265,"1,271",858,"1,125","3,240","2,298",744,"2,311","1,902","2,595","1,655"
2021,12,60,"23,765","6,038","2,426",477,"1,356",900,"1,195","1,979","1,534",612,"1,895","1,616","2,410","1,327"
2021,12,70,"12,042","2,483",993,309,784,484,560,"1,220",657,291,950,926,"1,668",717
2021,12,80,"6,192","1,260",446,219,433,322,278,552,384,170,441,530,794,363
2021,12,90,957,204,83,36,76,70,42,73,57,33,67,55,104,57
2021,12,100,23,4,1,1,2,2,0,0,3,0,4,2,2,2
