년도,월,나이,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2021,8,40,"20,362",957,"2,872",871,"1,301","1,440","4,042","1,410",779,643,619,846,466,821,"1,049",516,"1,214",516
2021,8,50,"21,535","1,099","2,391",951,"1,276","1,170","4,107","1,370","1,095",705,733,"1,081",535,"1,033","1,255",598,"1,354",782
2021,8,60,"22,299","1,333","1,903","1,093","1,330","1,033","3,421","1,503","1,417",913,686,"1,347",765,"1,474","1,218",705,"1,281",877
2021,8,70,"13,812",941,"1,016",760,886,559,"1,990",801,860,498,429,849,531,929,812,534,774,643
2021,8,80,"6,091",369,452,330,370,237,893,348,365,202,160,380,230,405,368,319,360,303
2021,8,90,904,47,85,40,46,40,152,66,51,24,34,41,28,77,50,44,43,36
2021,8,100,52,8,3,2,0,1,1,5,3,5,1,12,2,2,0,3,0,4
2021,9,총,"134,599","7,874","16,760","6,341","8,789","8,015","23,064","8,617","6,338","4,456","4,085","6,440","3,450","6,519","7,057","4,354","8,097","4,343"
2021,9,0,"8,324",252,"1,295",500,495,878,"1,633",666,241,227,235,292,131,258,334,162,567,158
2021,9,10,"10,956",454,"1,526",412,677,760,"2,465",857,426,325,372,431,209,425,577,176,637,227
2021,9,20,"16,280","1,658","3,170",561,"1,436",815,"2,217",718,617,434,437,593,279,538,772,698,876,461
2021,9,30,"13,915",759,"2,031",819,970,"1,082","2,090",863,483,475,376,581,277,558,616,595,994,346
2021,9,40,"20,293",949,"2,854",875,"1,305","1,433","4,042","1,407",779,639,622,838,468,819,"1,033",518,"1,199",513
2021,9,50,"21,619","1,108","2,411",951,"1,277","1,170","4,134","1,378","1,094",709,737,"1,080",530,"1,035","1,268",600,"1,359",778
2021,9,60,"22,304","1,331","1,913","1,094","1,334","1,038","3,424","1,504","1,414",916,679,"1,341",762,"1,468","1,221",704,"1,287",874
2021,9,70,"13,831",936,"1,009",761,879,560,"2,010",808,862,501,432,851,531,929,814,530,774,644
2021,9,80,"6,114",372,462,327,369,238,894,343,367,200,162,380,232,409,373,324,359,303
2021,9,90,910,47,86,39,47,40,154,68,52,25,31,41,29,78,49,44,45,35
2021,9,100,53,8,3,2,0,1,1,5,3,5,2,12,2,2,0,3,0,4
2021,10,총,"134,620","7,871","16,790","6,338","8,805","8,023","23,050","8,633","6,347","4,444","4,095","6,417","3,452","6,521","7,041","4,378","8,101","4,314"
2021,10,0,"8,273",249,"1,291",495,489,871,"1,619",673,238,224,235,282,133,253,331,166,568,156
2021,10,10,"10,960",450,"1,522",412,673,768,"2,484",860,429,320,368,430,209,424,566,176,640,229
2021,10,20,"16,308","1,654","3,193",563,"1,437",811,"2,207",721,612,437,444,595,284,547,775,704,874,450
2021,10,30,"13,867",762,"2,022",820,974,"1,074","2,086",860,479,474,370,571,270,553,617,601,989,345
2021,10,40,"20,267",949,"2,858",869,"1,305","1,438","4,021","1,404",787,633,623,832,472,817,"1,028",519,"1,206",506
2021,10,50,"21,574","1,110","2,414",946,"1,280","1,172","4,123","1,378","1,094",701,733,"1,072",527,"1,035","1,265",602,"1,347",775
2021,10,60,"22,373","1,328","1,922","1,096","1,340","1,046","3,449","1,512","1,416",922,687,"1,340",758,"1,472","1,220",707,"1,293",865
2021,10,70,"13,878",942,"1,009",766,891,565,"2,000",807,861,503,437,855,536,928,818,532,781,647
2021,10,80,"6,153",371,467,330,367,237,907,344,376,199,167,386,232,410,373,327,357,303
2021,10,90,915,48,89,39,49,40,153,69,53,26,29,42,29,80,48,41,46,34
2021,10,100,52,8,3,2,0,1,1,5,2,5,2,12,2,2,0,3,0,4
2021,11,총,"134,445","7,872","16,777","6,321","8,828","8,016","23,059","8,625","6,326","4,438","4,095","6,365","3,451","6,517","7,004","4,361","8,096","4,294"
2021,11,0,"8,214",245,"1,269",492,490,866,"1,617",666,239,217,238,275,133,252,329,166,567,153
2021,11,10,"10,954",450,"1,538",408,668,772,"2,486",862,421,321,366,430,208,422,560,178,638,226
2021,11,20,"16,265","1,637","3,190",558,"1,447",808,"2,214",728,609,432,442,590,283,547,766,692,874,448
2021,11,30,"13,802",777,"2,012",812,978,"1,064","2,059",844,479,473,370,563,274,549,619,604,982,343
2021,11,40,"20,244",942,"2,866",870,"1,297","1,435","4,024","1,413",782,636,620,826,469,809,"1,018",521,"1,212",504
2021,11,50,"21,553","1,112","2,412",945,"1,289","1,179","4,134","1,364","1,088",706,733,"1,063",524,"1,042","1,250",596,"1,343",773
2021,11,60,"22,401","1,336","1,927","1,103","1,348","1,042","3,456","1,512","1,412",919,687,"1,343",757,"1,472","1,226",707,"1,289",865
2021,11,70,"13,887",946,"1,004",756,893,570,"2,009",817,862,502,442,848,543,928,813,529,784,641
2021,11,80,"6,170",377,464,336,367,239,906,345,380,200,166,383,231,415,374,325,358,304
2021,11,90,921,47,91,39,51,40,151,69,52,27,29,44,28,79,49,41,49,35
2021,11,100,34,3,4,2,0,1,3,5,2,5,2,0,1,2,0,2,0,2
2021,12,총,"134,114","7,819","16,729","6,315","8,848","7,986","23,027","8,610","6,313","4,435","4,097","6,347","3,450","6,497","6,967","4,351","8,066","4,257"
2021,12,0,"8,145",242,"1,232",497,488,857,"1,614",664,239,218,235,277,134,252,321,166,561,148
2021,12,10,"10,922",450,"1,539",401,666,775,"2,473",854,416,322,367,426,209,419,562,178,639,226
2021,12,20,"16,180","1,599","3,199",562,"1,470",800,"2,211",724,604,431,435,584,280,540,758,687,860,436
2021,12,30,"13,690",768,"1,990",804,974,"1,050","2,048",841,478,472,374,561,274,543,601,603,963,346
2021,12,40,"20,158",936,"2,852",872,"1,290","1,435","3,997","1,418",780,637,614,822,462,807,"1,008",523,"1,208",497
2021,12,50,"21,525","1,113","2,418",939,"1,285","1,184","4,127","1,369","1,082",703,742,"1,061",521,"1,024","1,254",589,"1,344",770
2021,12,60,"22,395","1,325","1,935","1,105","1,350","1,034","3,470","1,497","1,413",919,690,"1,340",756,"1,477","1,227",712,"1,291",854
2021,12,70,"13,949",952,"1,007",751,900,577,"2,015",828,870,502,439,851,552,936,817,529,788,635
2021,12,80,"6,195",383,462,342,370,233,914,344,377,202,170,382,235,417,371,322,363,308
2021,12,90,930,48,92,40,55,39,155,71,52,27,30,43,26,80,48,40,49,35
2021,12,100,25,3,3,2,0,2,3,0,2,2,1,0,1,2,0,2,0,2
