년도,월,나이,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2021,9,50,"35,504","2,419","5,582","2,599","2,144","1,086","2,093","1,930",822,849,427,"2,841","8,496","2,265","1,951"
2021,9,60,"28,218","2,622","3,670","2,244","1,874","1,116","1,702","1,670","1,004","1,083",699,"2,553","4,304","2,036","1,641"
2021,9,70,"13,153","1,394","1,640","1,030",893,580,879,852,558,655,408,"1,149","1,489",902,724
2021,9,80,"7,066",851,813,487,534,316,440,451,374,433,337,519,743,450,318
2021,9,90,976,109,89,82,97,46,67,65,46,65,48,66,101,61,34
2021,9,100,33,3,2,3,3,1,3,1,2,7,2,1,0,4,1
2021,10,총,"224,066","14,584","36,085","14,033","11,365","6,442","15,812","14,549","4,377","4,735","2,651","16,963","57,237","15,012","10,221"
2021,10,0,"18,113",911,"3,022","1,040",748,290,"1,559","1,108",122,154,57,868,"6,810",881,543
2021,10,10,"23,254","1,326","4,379","1,070",851,850,"1,762","1,179",250,213,120,"1,481","8,126",892,755
2021,10,20,"31,500","1,517","5,271","1,642","1,335",779,"2,396","2,677",368,410,169,"2,782","7,419","3,226","1,509"
2021,10,30,"30,920","1,449","4,992","1,810","1,264",671,"2,770","2,476",349,352,153,"2,188","8,708","2,446","1,292"
2021,10,40,"34,955","1,996","6,560","1,974","1,607",698,"2,110","2,131",471,493,225,"2,485","10,925","1,841","1,439"
2021,10,50,"35,600","2,413","5,616","2,613","2,143","1,087","2,104","1,932",823,848,421,"2,857","8,536","2,263","1,944"
2021,10,60,"28,434","2,627","3,690","2,270","1,884","1,126","1,714","1,678","1,014","1,099",708,"2,556","4,364","2,046","1,658"
2021,10,70,"13,180","1,388","1,634","1,032",903,571,880,850,561,662,412,"1,157","1,500",906,724
2021,10,80,"7,089",846,825,497,533,323,444,450,372,431,338,522,743,445,320
2021,10,90,987,108,93,81,94,46,70,67,47,66,46,66,106,62,35
2021,10,100,34,3,3,4,3,1,3,1,0,7,2,1,0,4,2
2021,11,총,"223,831","14,552","36,123","13,984","11,399","6,211","15,633","14,615","4,406","4,728","2,659","16,944","57,330","15,016","10,231"
2021,11,0,"18,027",906,"3,020","1,036",746,288,"1,565","1,100",129,149,57,865,"6,750",882,534
2021,11,10,"22,736","1,310","4,388","1,027",850,647,"1,489","1,179",248,215,119,"1,477","8,151",881,755
2021,11,20,"31,493","1,516","5,235","1,639","1,340",747,"2,393","2,717",368,407,171,"2,783","7,442","3,220","1,515"
2021,11,30,"30,945","1,449","5,006","1,813","1,269",669,"2,800","2,482",350,352,151,"2,183","8,679","2,457","1,285"
2021,11,40,"35,029","2,003","6,577","1,962","1,600",692,"2,150","2,142",477,492,224,"2,475","10,968","1,833","1,434"
2021,11,50,"35,635","2,386","5,617","2,611","2,155","1,094","2,098","1,934",822,847,424,"2,844","8,578","2,263","1,962"
2021,11,60,"28,633","2,638","3,715","2,276","1,904","1,133","1,737","1,693","1,027","1,097",715,"2,575","4,401","2,062","1,660"
2021,11,70,"13,180","1,389","1,631","1,033",901,566,876,850,566,666,408,"1,155","1,506",904,729
2021,11,80,"7,136",841,836,504,539,326,452,450,372,431,343,520,751,450,321
2021,11,90,983,111,95,79,92,48,70,67,47,65,45,67,104,59,34
2021,11,100,34,3,3,4,3,1,3,1,0,7,2,0,0,5,2
2021,12,총,"223,177","14,559","36,103","13,923","11,408","5,944","15,331","14,602","4,379","4,713","2,657","16,939","57,336","15,066","10,217"
2021,12,0,"17,883",895,"2,979","1,020",751,286,"1,548","1,083",126,143,57,855,"6,715",894,531
2021,12,10,"22,148","1,311","4,376",988,854,422,"1,217","1,173",237,216,118,"1,467","8,129",889,751
2021,12,20,"31,355","1,518","5,230","1,620","1,320",683,"2,351","2,740",368,403,171,"2,797","7,456","3,205","1,493"
2021,12,30,"30,906","1,453","4,989","1,795","1,290",673,"2,787","2,471",346,347,151,"2,178","8,638","2,492","1,296"
2021,12,40,"35,058","1,985","6,561","1,975","1,598",697,"2,179","2,147",469,488,227,"2,473","10,982","1,846","1,431"
2021,12,50,"35,688","2,397","5,644","2,634","2,147","1,100","2,098","1,925",819,848,422,"2,849","8,595","2,262","1,948"
2021,12,60,"28,797","2,645","3,758","2,278","1,912","1,136","1,742","1,694","1,027","1,099",725,"2,578","4,459","2,068","1,676"
2021,12,70,"13,179","1,398","1,633","1,027",910,571,878,846,563,666,397,"1,157","1,504",898,731
2021,12,80,"7,132",837,836,505,532,327,457,454,375,433,338,516,750,446,326
2021,12,90,"1,007",117,94,78,91,48,73,68,49,67,51,69,108,62,32
2021,12,100,24,3,3,3,3,1,1,1,0,3,0,0,0,4,2
