년도,월,나이,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2021,5,100,25,0,4,12,1,5,3
2021,6,총,"230,705","35,845","20,465","61,289","32,131","16,205","64,770"
2021,6,0,"22,807","3,864",858,"6,862","3,960","1,325","5,938"
2021,6,10,"24,937","4,163","1,165","7,121","3,354","1,950","7,184"
2021,6,20,"31,522","4,450","3,838","7,158","4,083","2,208","9,785"
2021,6,30,"38,192","5,384","4,915","9,718","5,911","2,315","9,949"
2021,6,40,"43,700","6,752","3,843","11,745","6,151","3,097","12,112"
2021,6,50,"33,660","5,450","2,861","8,505","4,281","2,546","10,017"
2021,6,60,"21,198","3,353","1,810","5,982","2,780","1,580","5,693"
2021,6,70,"9,916","1,608",809,"2,832","1,114",776,"2,777"
2021,6,80,"4,224",743,335,"1,197",422,367,"1,160"
2021,6,90,524,78,27,157,74,36,152
2021,6,100,25,0,4,12,1,5,3
2021,7,총,"230,657","35,846","20,568","61,285","32,056","16,211","64,691"
2021,7,0,"22,645","3,840",854,"6,811","3,918","1,312","5,910"
2021,7,10,"24,918","4,166","1,163","7,112","3,364","1,939","7,174"
2021,7,20,"31,519","4,470","3,841","7,140","4,069","2,213","9,786"
2021,7,30,"38,080","5,358","4,958","9,693","5,844","2,322","9,905"
2021,7,40,"43,683","6,736","3,863","11,764","6,175","3,089","12,056"
2021,7,50,"33,718","5,449","2,895","8,516","4,283","2,546","10,029"
2021,7,60,"21,372","3,398","1,812","6,029","2,788","1,605","5,740"
2021,7,70,"9,916","1,604",810,"2,846","1,116",774,"2,766"
2021,7,80,"4,253",748,340,"1,206",423,369,"1,167"
2021,7,90,528,77,28,156,75,37,155
2021,7,100,25,0,4,12,1,5,3
2021,8,총,"230,555","35,780","20,638","61,182","32,033","16,174","64,748"
2021,8,0,"22,422","3,795",848,"6,718","3,885","1,300","5,876"
2021,8,10,"24,894","4,153","1,155","7,148","3,346","1,930","7,162"
2021,8,20,"31,461","4,445","3,837","7,106","4,081","2,201","9,791"
2021,8,30,"37,883","5,331","4,995","9,581","5,792","2,321","9,863"
2021,8,40,"43,794","6,724","3,889","11,810","6,185","3,081","12,105"
2021,8,50,"33,803","5,460","2,906","8,538","4,305","2,539","10,055"
2021,8,60,"21,526","3,423","1,822","6,054","2,811","1,611","5,805"
2021,8,70,"9,925","1,614",803,"2,846","1,119",778,"2,765"
2021,8,80,"4,284",754,348,"1,211",436,370,"1,165"
2021,8,90,537,81,31,158,71,38,158
2021,8,100,26,0,4,12,2,5,3
2021,9,총,"230,395","35,772","20,690","61,094","31,958","16,184","64,697"
2021,9,0,"22,245","3,763",835,"6,676","3,860","1,285","5,826"
2021,9,10,"24,885","4,158","1,156","7,166","3,346","1,918","7,141"
2021,9,20,"31,378","4,432","3,855","7,056","4,054","2,210","9,771"
2021,9,30,"37,770","5,320","4,998","9,495","5,738","2,327","9,892"
2021,9,40,"43,768","6,711","3,884","11,837","6,173","3,074","12,089"
2021,9,50,"33,857","5,488","2,930","8,526","4,312","2,553","10,048"
2021,9,60,"21,685","3,446","1,851","6,088","2,846","1,626","5,828"
